"","Broadleaved woodland","Coniferous Woodland","Arable and Horticulture","Improved Grassland","Neutral Grassland","Calcareous Grassland","Acid grassland","Fen, Marsh and Swamp","Freshwater","Mountain_Heath_Bog","UrbanSuburban","MEM1","MEM2","MEM3","MEM4","MEM5","MEM6","MEM7","MEM8","MEM9","MEM10"
"SU59",3.34,0.48,57.63,18.58,5.89,0,0,0.26,2.71,0.06,11.22,-0.237958247699351,-0.21362353691644,0.383186748377741,0.102820652205042,0.783141930738793,-0.995156215616234,1.15470149172665,-0.937093507453115,0.698417732883691,0.970768058443326
"SU62",12.31,0.64,52.92,28.33,0,4.33,0,0,0.04,0.39,1.15,3.34335355872573,-5.68721707207257,4.81737234714255,-0.482097245740303,-0.156394351097026,0.0608331760653697,-0.0476702211066698,0.0191382454225462,-0.0157614166145269,-0.287355150434042
"SU63",11.66,1.64,47.3,37.58,0,0.15,0,0,0,0.04,1.77,1.71894352598833,-3.51589360730057,3.7965843319692,-0.612899731099802,-0.26321951723907,0.169698210393381,-0.121035718927758,0.0788965690522401,-0.050643423306,-0.0769389620411109
"SU64",14.71,1.47,52.17,28,0.01,0.46,0,0,0,0.43,2.95,0.813977679767795,-2.17357238820541,2.98308843408364,-0.739916072904534,-0.36836935796549,0.277338132636458,-0.193592520751696,0.13808047805444,-0.0851782502705174,0.134116189950608
"SU65",10.82,1.42,33.39,34.38,0.19,0,0,0.03,0.03,0.47,19.39,0.309816362588668,-1.34374249352044,2.33478991656974,-0.862405255218389,-0.471134123686163,0.383007676426168,-0.264833214308026,0.196274189360346,-0.119122752156111,0.344171465194619
"SU66",11.77,5.17,33.15,40.06,0.71,0,0,0,1.19,1.63,6.56,0.0289447622521887,-0.830736562141071,1.81814327237298,-0.979652293390435,-0.570819863552253,0.485974913626464,-0.334259386184754,0.253068709499676,-0.15223784240701,0.551595195228638
"SU67",13.66,0.77,24.8,37.49,0.73,0.25,0,0.01,3.76,1.05,17.75,-0.127531124515753,-0.513592646164734,1.40641599519018,-1.09097242285498,-0.666753120184801,0.585526331823371,-0.401385113908263,0.308064713051747,-0.184290179592232,0.754775565131564
"SU68",19.57,1.72,44.61,26.98,1.04,0.5,0,0,0.35,0.29,5.01,-0.214705500771576,-0.31753171162489,1.07830501364231,-1.19571511564937,-0.75828548992425,0.680971788358225,-0.4657403734291,0.360875355437971,-0.215053814608113,0.952133150090244
"SU69",2.9,0.08,64.03,26.11,1.24,0.29,0,0.04,0.15,0.35,4.92,-0.263271585345846,-0.196325064773533,0.816834162647901,-1.2932679009837,-0.844798017641917,0.771649306432499,-0.526874338067634,0.411129000202486,-0.24431178710299,1.14213320925765
"SU72",16.46,2.52,30.69,40.96,0,1.78,0,0.03,0.23,0.77,6.67,1.64713300258046,-3.38027270855622,3.64944877894897,-0.451148314832403,-0.145731793706803,0.0575514215577149,-0.0444301721000044,0.0181579421803587,-0.0147226568062551,-0.271646892180798
"SU73",13.33,3.74,34.23,39.07,0.13,0.68,0,0,0.09,2.8,6.08,0.7740312495945,-2.08971988941836,2.8670224009411,-0.435951629032204,-0.140219041318199,0.0561672186764777,-0.0427557029133361,0.0177679936468509,-0.0141974862022925,-0.264871964866534
"SU74",9.91,0.8,54.83,30.89,0,0.23,0,0,0.04,0.23,3.07,0.287672600136019,-1.29189564163082,2.2437994034215,-0.418000792108198,-0.133861004247798,0.0543437558024219,-0.0408198333863237,0.0172329587143553,-0.013581668285256,-0.255999422412783
"SU75",18.72,6.94,21.26,45.49,0.46,0,0.05,0.01,0.24,1.33,5.57,0.016808431396778,-0.798675998896693,1.74752949027308,-0.397399772926811,-0.126700370540056,0.0520935735290901,-0.038636034439674,0.0165565697988563,-0.0128795167617808,-0.24509778446933
"SU76",12.43,5.43,14.94,53.51,0.58,0.02,0,0,0.65,0.91,11.73,-0.133932869563758,-0.493762375612863,1.35253263906076,-0.374268031195038,-0.118785259795308,0.0494321706986551,-0.0362195154155022,0.0157435534741819,-0.0120959546340514,-0.232251350589588
"SU77",5.22,0.46,17.11,34.02,0.73,0.13,0,0,4.04,0.64,37.92,-0.217627067658601,-0.305258217134472,1.03836992073905,-0.348739831858409,-0.110168901705875,0.0463778988324364,-0.0335871187281443,0.0147995978412274,-0.0112364798907953,-0.217559553701521
"SU78",22.28,1.99,25.75,41.84,0.24,1.35,0,0,0.89,0.34,5.42,-0.263742426000128,-0.188715814996615,0.788785623363588,-0.320963472486753,-0.100909279828369,0.0429518367173752,-0.0307572030069792,0.0137313131132946,-0.0103071271213908,-0.201136195528756
"SU79",24.67,0.65,31.01,35.56,0,4.81,0,0,0.03,0.69,2.79,-0.288515640474333,-0.116655620032745,0.590865912649017,-0.291100428056234,-0.091068742963797,0.0391776459981156,-0.0277495155380082,0.0125461856881499,-0.00931442531976869,-0.183108569802279
