"","Broadleaved woodland","Coniferous Woodland","Arable and Horticulture","Improved Grassland","Neutral Grassland","Calcareous Grassland","Acid grassland","Fen, Marsh and Swamp","Freshwater","Mountain_Heath_Bog","UrbanSuburban","MEM1","MEM2","MEM3","MEM4","MEM5","MEM6","MEM7","MEM8","MEM9","MEM10"
"SE42",3.86,0,51.59,3.7,3.5,0,0,3.11,3.29,3.14,27.99,-0.318990671833322,-6.14327996169218e-05,-0.168192529624381,0.841312471950727,0.991804475412829,-0.159761671631903,-0.542937221970296,1.04112892243911,-0.933443176453132,0.743006978137921
"SE43",10.45,0.04,71.43,6.68,2.97,0.11,0,0.12,0.03,0.44,7.9,-0.314695579935443,-5.91529233448484e-05,-0.15702349036188,0.729861503777185,0.863293911740419,-0.138908676597884,-0.472562779710899,0.906531600501698,-0.812709992927136,0.647864204036622
"SE44",8.43,0.01,65.87,16.45,0.51,0.09,0,0,0.15,0.05,8.59,-0.306985145020255,-5.64426746593979e-05,-0.143115134649492,0.614339311131168,0.728819412894285,-0.117138552449802,-0.39890028421807,0.765505310879188,-0.686228400130235,0.547702417843102
"SE45",3.1,0.03,73.14,21.69,0,0,0,0,0.09,0.06,2.08,-0.29314453229495,-5.26630673444079e-05,-0.125748325861457,0.495423525810265,0.589293361740295,-0.0946028185843066,-0.32246753895171,0.619045955998219,-0.554893501643472,0.443303267786306
"SE46",2.48,0.17,72.86,21.6,0,0,0,0.06,0.11,0,2.86,-0.26830086924331,-4.69230399407307e-05,-0.104025207781801,0.373812049301577,0.445662849891386,-0.0714583928374429,-0.243802058815872,0.468188263168195,-0.419635157770387,0.33548179887545
"SE47",2.54,1.01,77.8,16.71,0,0,0,0,0.02,0,2.02,-0.223707840839904,-3.78694086502649e-05,-0.076822812416165,0.250218964046893,0.298903260664734,-0.0478665005085218,-0.163457296355073,0.313998486801538,-0.281411413185963,0.225080099593389
"SE48",5.04,4.87,40.2,44.82,0,0.46,0,0,0.08,1.55,3.11,-0.143666725214798,-2.33678893696392e-05,-0.0427350379992543,0.125370345569875,0.150011654264666,-0.0239915524467199,-0.0819987526195396,0.157566881631156,-0.141201719409956,0.11296073250785
"SE50",6.97,0.08,55.62,4.18,4.91,0.02,0.03,0.56,1.11,1.89,24.64,-0.322712456484005,-6.89524865514049e-05,-0.177762599025291,0.0437530080674609,0.874623506133584,-1.12408773360633,1.35726136641791,-1.09903874204705,0.829410451366117,1.45328197785305
"SE51",5.33,0.02,76.67,6.99,4.48,0.12,0.01,0.41,0.29,0.48,5.37,-0.321380344420657,-6.51024195880587e-05,-0.171872626120788,0.0386620658549969,0.793498735052078,-1.01961018136868,1.23178830542988,-0.99732203534219,0.75278659988207,1.3217125314181
"SE52",2.12,0.32,81.98,3.41,2.57,0.05,0.12,0.39,1.09,1.53,6.56,-0.318988079112022,-6.22248818580241e-05,-0.164011894663757,0.0335596877252859,0.706888673555493,-0.908085127543401,1.09761698686246,-0.888580998899055,0.670824747109619,1.17986794776341
"SE53",3.72,0.92,80.17,8.14,2.38,0,0,0.15,0.51,0,4.16,-0.314693028237253,-5.96414250460845e-05,-0.153773806208998,0.028475765969578,0.615380151080288,-0.790287746636168,0.955689307633721,-0.773582534576258,0.584104171402563,1.02885382748638
"SE54",2.6,0.01,62.26,25.71,1.45,0,0,0,0.71,0,7.4,-0.306982699583244,-5.67429372573303e-05,-0.140628889694493,0.0234400985823948,0.519593493350766,-0.667037204159484,0.80700209255283,-0.653138061510406,0.493238076083505,0.869847762319796
"SE55",1.24,0.7,47.26,32.99,0.73,0,0,0,0.22,0,16.96,-0.293142285117462,-5.28460499366291e-05,-0.123897441554507,0.018482214164584,0.420178328855519,-0.539190974695695,0.652600111354107,-0.528097805413978,0.398869264619199,0.704090173988295
"SE56",1.71,0.53,67.76,27.32,0,0,0,0,0.02,0,2.8,-0.268298947527905,-4.70320434894628e-05,-0.102714403009042,0.0136311982464573,0.317809192800872,-0.407638888442071,0.493568752744533,-0.399344808977359,0.301665602648832,0.532874655662492
"SE57",8.22,2.95,48.21,38.79,0.09,0.45,0,0.19,0.13,0.09,1,-0.223706407799132,-3.79302763524231e-05,-0.0759846600606637,0.00891552205432562,0.213180958230458,-0.273296947496537,0.331026406737994,-0.267788705492087,0.20231529884222,0.357537891087771
"SE58",20.38,14.38,24.34,34.1,0.01,2.13,0.03,0,0.06,4.67,0.04,-0.14366595694582,-2.33950859835012e-05,-0.0423264569751746,0.00436287473076197,0.107004125212508,-0.137100954798758,0.16611660866634,-0.134359299538694,0.101522037887979,0.179449229848333
"SE60",5.35,0.42,64.33,4.44,3.97,0.1,0.73,0.17,0.64,3.29,16.48,-0.322709425026501,-6.8239865929262e-05,-0.174120696636082,-1.14184419338034,-0.891269816350051,0.893999896783859,-0.604467735504058,0.489462357951393,-0.286554495690495,1.71028190453321
"SE61",0.65,0.02,65.98,6.32,18.67,0,0.33,0.46,1.34,0.04,6.42,-0.321377248818658,-6.46616335491611e-05,-0.16899698716748,-1.03340049144668,-0.807739620275217,0.811283008615526,-0.548353181154278,0.444281707315937,-0.260026221776743,1.55545949624213
"SE62",1.9,0.04,80.79,4.65,4.84,0.05,0.17,0.08,1.45,0,6.08,-0.318984971732286,-6.19522492161995e-05,-0.161754454285277,-0.918681613770856,-0.718830651097483,0.72287038191982,-0.488422344506451,0.395944038248597,-0.231667441981958,1.38854290323391
"SE63",3.87,0.15,74.44,6.17,4.22,0.01,0.03,0.09,1.77,0.74,8.41,-0.314689968489368,-5.9472899631566e-05,-0.152018446048277,-0.798359077980729,-0.625145055804787,0.629376274531886,-0.42509576862061,0.344790108200454,-0.201678501797128,1.21083264852508
"SE64",4.99,0.65,69.23,16.06,3.73,0,0,0,0.26,0,5.2,-0.306979766448331,-5.66390096544007e-05,-0.139285423166133,-0.673137577898763,-0.527317627983963,0.531450548083854,-0.358818027227344,0.291180692247486,-0.170271359332144,1.02371393657118
"SE65",3.22,1.32,48.29,25.49,0.24,0,0,0,0.14,2.51,18.88,-0.293139589373894,-5.27824313884091e-05,-0.122896937602015,-0.543750868533417,-0.426011516684215,0.429774161985119,-0.290054610942862,0.235494044766712,-0.137668090731772,0.828645879541427
"SE66",2.58,0.53,67.39,25.32,0,0.06,0,0,0.01,2.76,1.53,-0.26829664202096,-4.69939351175022e-05,-0.102005605711652,-0.410957476684277,-0.321913739367406,0.325054447342067,-0.21928866397663,0.178123235665001,-0.104099322806413,0.627150139086323
"SE67",9.63,5.48,56.51,27,0,0.16,0,0,0.06,0.43,0.88,-0.223704688484292,-3.79088713668552e-05,-0.0755313179295943,-0.275536262187194,-0.215730529257518,0.218020193563166,-0.147017594172357,0.119473379888875,-0.0698026039220203,0.420799071880709
"SE68",11.43,3.16,52.02,31.09,0,0.32,0,0,0.01,0.25,1.88,-0.143665035182499,-2.33854779432665e-05,-0.0421054225697152,-0.138281855738628,-0.108182548563645,0.109416581739665,-0.0737495801414533,0.0599587797199449,-0.0350207246441085,0.211203471195063
"SJ80",8.44,0.6,49.74,30.36,0.01,0,0,0.02,0.61,0.17,10.22,-0.324326245270398,0.000527232661903551,-0.142218033074823,1.56271778363364,-1.80890414234583,-1.86684622316294,-1.67169674810676,-1.24910207718907,-0.550469008486423,-0.827179916717779
"SJ81",2.87,0.13,46.87,47.3,0.49,0,0,0.07,0.72,0,1.61,-0.32434716064806,0.000302678737985614,-0.154689814661948,1.54191808661218,-1.80085409490273,-1.86209570424067,-1.66859468552531,-1.24724291125004,-0.549722986180401,-0.832408509439126
"SJ82",3.13,0.05,32.87,59.85,0.46,0,0,0.56,0.24,0.12,2.99,-0.324354686086679,0.000163857086062785,-0.164303609075922,1.5122974619975,-1.78069515244487,-1.84444557221201,-1.65380944526936,-1.23660278807706,-0.545098692474415,-0.831103632387756
"SJ83",7.71,1.81,31.66,54.17,0.08,0,0,0.12,0.22,0.25,4.08,-0.324350970297467,7.80398842371292e-05,-0.171556241169029,1.4740271793514,-1.74856125407465,-1.81401575112006,-1.6274423466153,-1.21725489555133,-0.536627993687278,-0.82327418904171
"SJ84",8.28,1.39,10.78,34.84,0.05,0,0,0,0.43,3.05,41.42,-0.324334204956499,2.49955296380409e-05,-0.176822430479846,1.4273293192653,-1.7046676257264,-1.77101514039246,-1.58967614559813,-1.18933393037729,-0.524369983814888,-0.808979991469099
"SJ85",8.01,0.04,10.94,55.19,0.01,0,0.44,0,0.86,1.33,23.36,-0.324297988149018,-7.78117908973102e-06,-0.180374175403487,1.37247551054098,-1.64930937505477,-1.71574021977703,-1.54077380368728,-1.15303518698087,-0.508410584039256,-0.788331323599119
"SJ86",8.58,0.11,16.47,66.67,0.02,0,0,0.03,0.31,0.25,7.64,-0.324229070648907,-2.80172555835447e-05,-0.182394824482834,1.30978537524272,-1.58285954282962,-1.64857304323762,-1.48107669135755,-1.10861321750895,-0.488861951957687,-0.761488110137452
"SJ87",10.92,0.37,10.87,68.84,0.02,0,0,0,1.06,0.41,7.78,-0.324102691655507,-4.04832254924713e-05,-0.182988563075729,1.23962469036798,-1.50576662345275,-1.56997863510839,-1.41100223857462,-1.05638007193327,-0.465861704509431,-0.728658697227513
"SJ88",7.58,0,5.17,38.88,0.05,0,0,0.01,0.26,0.29,47.89,-0.323873862009547,-4.81178045258262e-05,-0.182185806515713,1.16240327656292,-1.41855157083621,-1.48050180598772,-1.33104104812286,-0.99670313024258,-0.43957195990241,-0.690098253999394
"SJ89",3.42,0,2.25,11.51,0.06,0,0,0.1,0.75,0.05,81.99,-0.323461526289464,-5.27207122409753e-05,-0.17994477918515,1.07857262592983,-1.3218043094014,-1.38076340992127,-1.2417534915063,-0.930002541607357,-0.410178205132356,-0.646106807121524
"SJ90",3.39,0.33,34.51,24.21,0.02,0,0,0,0.6,1.6,35.51,-0.324281359861669,0.000928699128223225,-0.122549202993315,1.25114521599927,-0.270235732220477,0.963150869727616,1.89190951212187,2.02203240367944,1.05911939606648,-1.45747479540857
"SJ91",7.87,7.88,33.37,32.64,0.25,0,0,0.03,0.99,5.88,11.37,-0.324322362051121,0.000550877570935818,-0.139015585568314,1.23402033742497,-0.268048919100938,0.961600895298181,1.88933902634366,2.01965732478476,1.05800551298932,-1.46631008472488
"SJ92",6.29,0.76,19.89,52.79,1.67,0,0,1.78,0.19,0.31,16.52,-0.324341082345422,0.000317301430374041,-0.151813484604843,1.20987833988415,-0.264144863575923,0.953312082978174,1.87345919513629,2.00300892918729,1.04939993436045,-1.46366755874326
"SJ93",4.49,0.08,6.9,84.26,0,0.1,0,0.22,0,0.35,3.78,-0.324343607530129,0.000172904154100862,-0.16160436924753,1.17885884988081,-0.258549627768529,0.938340612566597,1.84437867941283,1.97220161693005,1.03336190222403,-1.44956557106309
"SJ94",5.03,0.53,3.56,69.81,0.17,0.37,0.01,0,0.14,1.84,18.67,-0.324330323239862,8.36437672898213e-05,-0.168894203131777,1.14114190033033,-0.251300757829715,0.916789190769942,1.80229896333286,1.92744980733489,1.01000327382303,-1.42411189573756
"SJ95",9.8,0.53,0.47,78.6,0,0.04,0.7,0.07,1.1,0.4,8.48,-0.32429604981992,2.84771289264178e-05,-0.174059616732535,1.09694690633681,-0.242447037016047,0.88880636729924,1.74751299908173,1.8690664903355,0.97948776438745,-1.38750293926083
"SJ96",7.59,0.3,0.04,65.4,0.05,0,19.38,0,0.98,6.05,0.31,-0.324228218922582,-5.60116728897628e-06,-0.177367390259001,1.04653140873496,-0.232048162262454,0.854585531142498,1.68040320718868,1.79746108012656,0.942029822092955,-1.34002225997758
"SJ97",5.95,4.21,1.05,48.7,0,0,21.7,0,0.65,6.23,11.68,-0.324102448963603,-2.66249052800259e-05,-0.178988255318898,0.990189592468171,-0.220174346358958,0.814363593648591,1.60143884574229,1.71313658553397,0.897893142755966,-1.28203840579084
"SJ98",13.76,0.2,1.09,55.17,0.02,0,4.62,0,0.29,3,22.03,-0.323873961861839,-3.9550251549915e-05,-0.179005729699972,0.928250588208834,-0.206905848348891,0.768419367250298,1.51117276632195,1.61668611636176,0.84738883439428,-1.21400208638323
"SJ99",15.79,0.05,3.38,31.19,0.01,0,1.86,0,1.8,3.06,43.1,-0.323461819479027,-4.74241879721264e-05,-0.177420442730746,0.861076566914624,-0.19233243525738,0.7170716507878,1.41023757880546,1.50878874969342,0.790873244277346,-1.13644270138595
"SK00",4.27,0.07,39.04,25.07,0.03,0,0,0,1.36,1.2,29.02,-0.324240739567315,0.00101597142336451,-0.158269046947028,-0.760675795131599,2.04727698105475,1.59499640386897,-0.256372573211305,-1.8922088279212,-1.42364900059091,-1.64759757124605
"SK01",10.1,12.21,28.06,29.98,1.18,0.02,0,0.47,0.93,3.59,13.57,-0.32429973394753,0.000604831940086244,-0.167481602057692,-0.754118192311382,2.04064613726915,1.59204189730986,-0.255528470596083,-1.88952480298069,-1.42189834514903,-1.65751955649287
"SK02",4.97,3.07,24.64,61.01,0.48,0,0,0.36,3.22,0.09,2.4,-0.324328478142838,0.000350657707972911,-0.174497479040546,-0.742925321535704,2.02007938092205,1.5779637004594,-0.252926701276596,-1.87352653392192,-1.4101009052808,-1.65447243363379
"SK03",2.02,0.15,11.66,81.99,0.03,0,0,0.19,0.03,0.08,4.01,-0.324336587923051,0.000193526081565958,-0.179679157267737,-0.727161636757863,1.985713039589,1.55285729573417,-0.248585151633709,-1.84432403232106,-1.38833794014672,-1.63847741753497
"SK04",15.44,2.62,2.1,64.19,0.49,8.23,0.5,0,0.18,3.24,3.25,-0.324326414991941,9.63929277122354e-05,-0.183294264568961,-0.706918431160225,1.93777711248797,1.51689494894126,-0.242533943252194,-1.8021205866451,-1.35676125687888,-1.6096567583093
"SK05",3.44,0,0.01,52.64,0.73,28.96,11.72,0,0,2.47,0.25,-0.324293875033362,3.63590924515242e-05,-0.185529422184703,-0.68231332280661,1.87659377384234,1.47032456136221,-0.234815229234224,-1.7472113877727,-1.31559218237023,-1.56823284722713
"SK06",0.24,0.43,0.03,26.04,0.11,14.61,40.55,0,0.01,17.88,0.16,-0.324227009936154,-7.28268739337171e-07,-0.18649990015983,-0.65348958523737,1.8025752491753,1.4134679941466,-0.225482905719288,-1.67998150400691,-1.26512004194684,-1.51452654011613
"SK07",1.27,2.96,0.11,25.14,0,10.01,33.55,0,1.03,22.78,3.26,-0.32410177809155,-2.36123194951678e-05,-0.186255582971279,-0.620615326733409,1.71622107824179,1.34671887610056,-0.214602240546688,-1.60090321917935,-1.20570015515933,-1.44895471056803
"SK08",5.87,0.07,0.43,40.79,0.04,2.4,29.94,0,0.39,15.71,4.49,-0.323873590824667,-3.7687787275689e-05,-0.184783554349789,-0.58388252287048,1.61811478249047,1.27053990957053,-0.20224942158259,-1.51053275196609,-1.13775136236459,-1.37202705130165
"SK09",7.25,0.52,0.36,20.93,0,0.24,21.81,0,2.43,40.79,5.82,-0.323461615516611,-4.62727882963235e-05,-0.182007435434249,-0.543505907854874,1.50891995901952,1.1854596926408,-0.188511027802518,-1.40950637893642,-1.06175309911283,-1.28434214792865
"SK10",6.9,1,56.47,21.3,1.84,0,0,0.69,0.54,0.19,11.27,-0.324209786280788,0.000761340247630977,-0.224556487376417,-2.03329883303668,0.815430679070916,-1.57058273081586,-1.35459103476297,1.22550058764408,1.77899136608726,-1.35123142105736
"SK11",2.75,0.11,53.42,25.87,7.22,0,0,1.68,1.35,0.1,7.62,-0.324282285889408,0.000447411036231279,-0.220307270568251,-2.01175125161732,0.813482814672348,-1.56649256500607,-1.35199481921417,1.22414910254408,1.77703827319555,-1.35945254269501
"SK12",10.29,0.61,29.57,57.17,1.06,0,0,0.04,0.07,0.09,1.2,-0.324318550190555,0.000253335064647926,-0.216592779871223,-1.97819844398431,0.805919707504117,-1.55155859131736,-1.33993925876189,1.214138879986,1.76250916391044,-1.35702990403886
"SK13",2.79,0.02,23.56,68.21,2.44,0,0,0.73,0.29,0,2.1,-0.324330845623777,0.00013335802557271,-0.213220625131244,-1.93283400973433,0.792791396732596,-1.52588229242274,-1.31850697976644,1.19553869714488,1.7355040826059,-1.34398031973552
"SK14",4.87,0.19,8.47,78.7,0.86,4.2,0.03,0.03,0,0.25,2.55,-0.324323000655587,5.91950207890443e-05,-0.21001612759954,-1.87592091287196,0.7741856930362,-1.48963994224173,-1.28784654054539,1.16847800650919,1.69621138651328,-1.32040352335632
"SK15",4.73,0,1.11,51.47,0.09,41.01,0.93,0,0,0.54,0.27,-0.324291753744515,1.33620933698966e-05,-0.206813287471604,-1.80778999375845,0.750227608464477,-1.44308142857151,-1.24817143028987,1.13314606127697,1.64490647019338,-1.28648143802093
"SK16",1.83,0.01,1.68,45.73,9.3,37.92,1.33,0,0,2,0.32,-0.324225605232752,-1.49457722171405e-05,-0.203446201223166,-1.7288380811244,0.721078533264783,-1.38652856211509,-1.19975861049131,1.08979061751456,1.58194987268908,-1.24247680482722
"SK17",4.1,0.01,0.7,22.74,7.21,60.31,2.52,0,0.01,2.07,0.54,-0.324100769039895,-3.2402010941831e-05,-0.19974048497886,-1.63952571470754,0.686935164979287,-1.32037288311747,-1.14294660863886,1.03871622178925,1.50778478009395,-1.18873117916548
"SK18",5.66,3.86,0.11,23.24,0.63,28.76,21.2,0,2.04,13.72,0.87,-0.323872799039757,-4.31217765323138e-05,-0.195504260542797,-1.54037449138192,0.648028196805447,-1.24507298033651,-1.07813317711207,0.980282095929466,1.42293394057224,-1.12566230994524
"SK19",0.77,5,0,0.18,0,0.62,13.32,0,1.37,78.73,0.02,-0.323460942337146,-4.96321049209463e-05,-0.190518238194014,-1.43196404987731,0.604620773858374,-1.16115134049393,-1.00577253327096,0.914899633430679,1.32799601305233,-1.05376092160199
"SK20",1.8,0.06,57.71,17.3,3.7,0,0,1.18,0.69,0.24,17.52,-0.324192557668538,0.000245655907318073,-0.275348036463494,-1.02485307909535,-1.65916617644813,-0.528066906441384,2.03083339866795,0.0521420352924806,-1.9225462541211,-0.640543483153358
"SK21",3.14,0,60.11,21.38,6.38,0,0,1.02,0.48,0.33,7.37,-0.324272278566118,0.000128599484802417,-0.26078333926355,-1.01517174022203,-1.65167094604394,-0.526294178542597,2.02801231659309,0.0523122852425673,-1.92019162270655,-0.64469978821727
"SK22",2.71,0.11,30.41,33.67,7.85,0,0,1.12,2.08,0.22,22.03,-0.324312558036877,5.62358887478628e-05,-0.248846418104326,-0.999326591180779,-1.6330798015428,-0.520912445503547,2.01091069980718,0.0520930757173498,-1.90426895583779,-0.643787127365084
"SK23",1.31,0,33.55,58.53,2.76,0,0,0.62,0.15,0.37,2.87,-0.324327082419327,1.15050485320847e-05,-0.238919688184766,-0.97740896237327,-1.60351629234177,-0.511958341781462,1.97964561253897,0.0514858745520208,-1.87488795645747,-0.637811643447994
"SK24",4.52,0.42,27.15,63.34,0,1.77,0,0.22,0.16,1.26,1.23,-0.324320471274706,-1.6138437790627e-05,-0.230489534177902,-0.94954583431553,-1.5631784381827,-0.499493371330075,1.93443369089875,0.050494889059377,-1.83225358116574,-0.626818977297093
"SK25",6.51,0.36,2.13,44.74,1.6,39.56,0.34,0,0.01,2.76,2.16,-0.324289903874489,-3.32115054158036e-05,-0.223119746460548,-0.915899120548028,-1.51233743571663,-0.483603495841961,1.87558968467648,0.0491270380871505,-1.7766646511525,-0.610893934608833
"SK26",17.34,3.97,2.3,46.16,0.16,16.25,1.31,0,0.01,8.48,4.22,-0.324224126282672,-4.37390554131879e-05,-0.216428962387686,-0.876664744804099,-1.4513358672602,-0.464398552356294,1.80352430799658,0.047391904897355,-1.7085117974691,-0.590159846861286
"SK27",14.48,1.11,1.36,33.04,0.25,11.2,15.57,0,0.28,21.28,1.61,-0.324099489544167,-5.02028585889385e-05,-0.210070945767068,-0.832071517588157,-1.38058542334829,-0.442011504101939,1.7187414132008,0.0453016711799198,-1.62827475447595,-0.564777630953489
"SK28",6.75,2.63,0.65,25.36,0.2,0.15,23.86,0,0.96,37.87,1.83,-0.323871624306089,-5.41266494702177e-05,-0.203716684626365,-0.782379818501613,-1.30056415400593,-0.4165975296128,1.62183450711252,0.0428710326468117,-1.53651901993809,-0.534944554619212
"SK29",12.86,5.83,2.08,26.91,0.04,0,8.22,0,3.12,37.98,3.14,-0.32345982106154,-5.64353544931662e-05,-0.197037381546592,-0.727880091806116,-1.21181326688495,-0.388332956286447,1.51348263348991,0.0401170967835259,-1.43389190475361,-0.500892716973542
"SK30",2.59,0.02,67.47,25.32,2.03,0,0,0.08,0.24,0,2.32,-0.324191227641465,-0.000367343866059018,-0.275349279818583,1.03941647012294,-0.766648320829046,2.06091700921786,-0.70527124773796,-1.13282914943263,1.96268255587577,0.31220950044715
"SK31",3.54,0.28,52.96,28.51,0.45,0,0,0.23,0.37,4.13,9.75,-0.324270923212129,-0.000250374379660723,-0.260782966943767,1.02475638846733,-0.762550790354552,2.05686628560816,-0.703692946830113,-1.13109315547012,1.96046818163122,0.313478639361215
"SK32",7.52,1.56,54.22,24.82,3.17,0,0,0.54,3.14,0.06,5.15,-0.324311176594969,-0.000178056842888518,-0.248844795752708,1.00430866439725,-0.753385478548038,2.038464934085,-0.697210820692907,-1.12139856729345,1.9443853988427,0.312345557774496
"SK33",1.58,0.04,23.11,23.28,3.21,0,0,1.18,0.29,0.17,47.24,-0.324325674430848,-0.00013334174534851,-0.238917106104919,0.97819158797329,-0.739213380985752,2.00583785858212,-0.685869349800931,-1.10381210707549,1.91454501439377,0.308818625944671
"SK34",7.44,0.06,20.6,56.34,2.79,0.01,0,0.57,0.27,1.47,10.45,-0.324319036509946,-0.000105687140560241,-0.230486224875774,0.946556740570306,-0.720129468941384,1.95920896599342,-0.669747171125417,-1.07845622268457,1.87115518526318,0.302924888481804
"SK35",14.86,0.77,9.66,65.87,0.27,1.79,0.26,0.21,0.31,0.78,5.41,-0.324288442347606,-8.85732431929293e-05,-0.223115898548144,0.909588131379639,-0.696262067579351,1.89889967177973,-0.648956547223135,-1.04550825846713,1.81452000726181,0.294709864033519
"SK36",9.77,4.31,12.5,49.37,0.3,5.47,4.03,0.09,0.67,3.29,10.53,-0.32422263834693,-7.79653148194152e-05,-0.216424731634787,0.867501142774516,-0.667772007271083,1.82532672556136,-0.623642598479864,-1.00519923761671,1.74503742354964,0.284237200637718
"SK37",12.91,0.35,20.99,39.28,0.3,0.06,0.88,0.16,0.24,1.37,23.69,-0.324097976084501,-7.13624348839616e-05,-0.210066463912133,0.820541290486394,-0.63485155354628,1.73899937110926,-0.593982303656918,-0.957812264322038,1.66319646702484,0.271588189295782
"SK38",15.34,0.15,8.46,16.78,0,0.01,0.03,0.01,0.11,1.18,58.22,-0.323870087070926,-6.72078885751822e-05,-0.203712066415388,0.768982805636971,-0.597723122701923,1.64051585980368,-0.560183275526008,-0.90368055658535,1.56957385541375,0.256861139429312
"SK39",21.46,1.88,19.86,23.85,0.09,0.02,0.78,0,0.3,1.85,30.08,-0.323458263205959,-6.45221616349994e-05,-0.197032730350208,0.713127046728324,-0.556637791557507,1.5305593411598,-0.52248231996941,-0.843185123227447,1.46482996250129,0.240170620966854
"SK40",2.31,0,51.47,37.66,0.28,0,0,0.01,0.48,1.88,5.99,-0.324205797235489,-0.000883025245675238,-0.224560902633032,1.65808978803023,1.80830210549691,-0.294833307918618,-0.98365608734692,1.8728374344855,-1.68027834451123,1.27791722662931
"SK41",6.29,0.26,32.55,39.36,0.16,0.39,0.34,0.03,0.48,5.37,14.92,-0.324278220531721,-0.000569181788795963,-0.220307111451192,1.63610063576363,1.80249305561264,-0.293572467633705,-0.981607792480132,1.87056293792638,-1.67814871549264,1.28464855748493
"SK42",4.05,0.04,58.55,22.7,5.43,0,0,0.81,0.29,0.77,7.54,-0.324314406403867,-0.000375151961609236,-0.216589010132837,1.60474576408687,1.78437158178076,-0.290321913459721,-0.972706137260868,1.85507641089913,-1.66416821933138,1.28140864804797
"SK43",2.34,0.13,38.9,21.62,7.4,0,0,2.17,2.13,0.17,25.38,-0.324326622117714,-0.000255191231439314,-0.213214023928842,1.56420646534235,1.75405787901401,-0.285103817726883,-0.957012202409751,1.82648438465727,-1.63843325397172,1.26822089886684
"SK44",3.95,0.99,21.19,38.19,6.15,0,0,2.21,0.58,2.32,24.59,-0.324318696784642,-0.00018101778144707,-0.210007330989999,1.51471793868776,1.71175484012092,-0.277954043760642,-0.934634797364557,1.78498590168914,-1.60112336974659,1.24518628911666
"SK45",6.55,0.43,29.76,33.45,1.09,0,0,0.56,0.1,2.17,26.03,-0.324287369573129,-0.000135144643697325,-0.206802821750966,1.45656795134943,1.65774673293471,-0.268921904973271,-0.90572972537873,1.73087116788183,-1.55250005052539,1.21248263219869
"SK46",6.17,0.12,53.94,23.65,0.32,0,0,0.14,0.1,4.63,11.06,-0.324221141831562,-0.000106756910319695,-0.20343450981515,1.39009519020782,1.59239732435503,-0.258069830153867,-0.870498717714409,1.66451955987505,-1.49290491409312,1.17036323126963
"SK47",6.61,0.03,55.54,12.44,1.24,0,0,0.83,0.41,5.43,17.8,-0.324096229068822,-8.91619906635407e-05,-0.199727950201743,1.31568731300546,1.51614746334205,-0.245472937189091,-0.829188044082028,1.58639700101703,-1.42275734390405,1.1191549446363
"SK48",8.15,0.13,36.14,18.97,0.12,0.23,0,0.05,1.25,1.81,33.35,-0.323868187746187,-7.82117648486333e-05,-0.195491221273119,1.23377871024537,1.42951213869222,-0.231218518087577,-0.782086808765048,1.49705272381375,-1.34255156839523,1.05925567557099
"SK49",10.06,0.35,37.29,12.45,1.29,0.12,0.03,0.15,1.55,0.84,35.96,-0.323456269186662,-7.13246292039175e-05,-0.190505004180605,1.14484799056474,1.33307703101344,-0.215405438802729,-0.729524944092303,1.39711544112239,-1.25285320797963,0.991131305615173
"SK50",3.2,0.74,20.22,23.45,4.65,0,0,0.99,0.38,0.84,45.6,-0.324234094353474,-0.00113766033674656,-0.158274816491262,0.0877356532869389,1.28610850291681,-1.65176360853512,1.97738862308434,-1.60258987605055,1.20614224853043,2.02718669554363
"SK51",8.48,1.01,32.54,22.08,13.01,0.17,0,1.13,1.61,3.21,17.02,-0.324292960563669,-0.000726601926634164,-0.167480966286797,0.0843009768129609,1.28228027955432,-1.64737963174067,1.97453635372979,-1.60016172516725,1.20476944184355,2.03810793647932
"SK52",4.44,0.1,61.09,13.93,10.48,0.07,0,0.51,0.14,0.39,9.05,-0.324321573557844,-0.000472472044851635,-0.174491627637156,0.080588247614,1.26966731581433,-1.63160055849367,1.95779069341339,-1.58647311070481,1.1948757996689,2.03319019177933
"SK53",3.99,0.08,33.19,12.31,4.79,0.04,0,0.5,3.66,0.01,41.62,-0.324329550240834,-0.000315356310529749,-0.179669088126496,0.0766190855456891,1.24835326040987,-1.60453373790171,1.92726641456777,-1.56161831595866,1.17652954883781,2.01246893856399
"SK54",4.88,0.22,23.76,13.71,2.56,0.01,0,0.18,0.26,0.43,54.2,-0.324319243265851,-0.0002182128890226,-0.183280823516553,0.0724166229293301,1.21848075665513,-1.56636502653328,1.88317507154787,-1.52577041870174,1.14985868875795,1.97610285834172
"SK55",13.76,9.45,48.51,8.44,0.4,0,0,0.03,0.52,2.18,16.96,-0.324286569435505,-0.000158139226482836,-0.18551333617174,0.0680053700850083,1.18025051211974,-1.51735754347458,1.82582357276194,-1.47918011694939,1.11505012189155,1.92437266605425
"SK56",6.83,7.05,44.38,6.39,3.15,0.07,0,0.05,0.14,6.73,25.37,-0.324219572282626,-0.000120972405662824,-0.186481805126267,0.0634110726556755,1.13391997372017,-1.45784988686477,1.75561208165993,-1.4221740058786,1.07234836686373,1.85767898634683
"SK57",15.71,4.01,57.59,5.87,3.4,0.01,0,0.26,0.96,2.07,10.31,-0.324094212830301,-9.79500337465279e-05,-0.186236047332745,0.058660561549494,1.07980161682889,-1.38825382377811,1.67303126066302,-1.35515231752327,1.02205386289378,1.77653929277799
