Disp,comp_str,R_max,EnvNoiseSigma,Repeat,RunID,RunName,S_global,Occ_thresh,comp_conn
1e-5,0.2,5,0.001,A,1,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.2,5,0.001,A,2,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.2,5,0.001,A,3,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.2,5,0.001,A,4,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.2,5,0.001,A,5,TrialLatin,50,0.1,0.01
0.01,0.2,5,0.001,A,6,TrialLatin,50,0.1,0.01
1e-5,0.38,5,0.001,A,7,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.38,5,0.001,A,8,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.38,5,0.001,A,9,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.38,5,0.001,A,10,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.38,5,0.001,A,11,TrialLatin,50,0.1,0.01
0.01,0.38,5,0.001,A,12,TrialLatin,50,0.1,0.01
1e-5,0.56,5,0.001,A,13,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.56,5,0.001,A,14,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.56,5,0.001,A,15,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.56,5,0.001,A,16,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.56,5,0.001,A,17,TrialLatin,50,0.1,0.01
0.01,0.56,5,0.001,A,18,TrialLatin,50,0.1,0.01
1e-5,0.74,5,0.001,A,19,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.74,5,0.001,A,20,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.74,5,0.001,A,21,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.74,5,0.001,A,22,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.74,5,0.001,A,23,TrialLatin,50,0.1,0.01
0.01,0.74,5,0.001,A,24,TrialLatin,50,0.1,0.01
1e-5,0.9200000000000002,5,0.001,A,25,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.9200000000000002,5,0.001,A,26,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.9200000000000002,5,0.001,A,27,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.9200000000000002,5,0.001,A,28,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.9200000000000002,5,0.001,A,29,TrialLatin,50,0.1,0.01
0.01,0.9200000000000002,5,0.001,A,30,TrialLatin,50,0.1,0.01
1e-5,1.1,5,0.001,A,31,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,1.1,5,0.001,A,32,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,1.1,5,0.001,A,33,TrialLatin,50,0.1,0.01
6.30957344480193e-4,1.1,5,0.001,A,34,TrialLatin,50,0.1,0.01
0.0025118864315095794,1.1,5,0.001,A,35,TrialLatin,50,0.1,0.01
0.01,1.1,5,0.001,A,36,TrialLatin,50,0.1,0.01
1e-5,0.2,14,0.001,A,37,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.2,14,0.001,A,38,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.2,14,0.001,A,39,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.2,14,0.001,A,40,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.2,14,0.001,A,41,TrialLatin,50,0.1,0.01
0.01,0.2,14,0.001,A,42,TrialLatin,50,0.1,0.01
1e-5,0.38,14,0.001,A,43,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.38,14,0.001,A,44,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.38,14,0.001,A,45,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.38,14,0.001,A,46,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.38,14,0.001,A,47,TrialLatin,50,0.1,0.01
0.01,0.38,14,0.001,A,48,TrialLatin,50,0.1,0.01
1e-5,0.56,14,0.001,A,49,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.56,14,0.001,A,50,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.56,14,0.001,A,51,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.56,14,0.001,A,52,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.56,14,0.001,A,53,TrialLatin,50,0.1,0.01
0.01,0.56,14,0.001,A,54,TrialLatin,50,0.1,0.01
1e-5,0.74,14,0.001,A,55,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.74,14,0.001,A,56,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.74,14,0.001,A,57,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.74,14,0.001,A,58,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.74,14,0.001,A,59,TrialLatin,50,0.1,0.01
0.01,0.74,14,0.001,A,60,TrialLatin,50,0.1,0.01
1e-5,0.9200000000000002,14,0.001,A,61,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.9200000000000002,14,0.001,A,62,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.9200000000000002,14,0.001,A,63,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.9200000000000002,14,0.001,A,64,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.9200000000000002,14,0.001,A,65,TrialLatin,50,0.1,0.01
0.01,0.9200000000000002,14,0.001,A,66,TrialLatin,50,0.1,0.01
1e-5,1.1,14,0.001,A,67,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,1.1,14,0.001,A,68,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,1.1,14,0.001,A,69,TrialLatin,50,0.1,0.01
6.30957344480193e-4,1.1,14,0.001,A,70,TrialLatin,50,0.1,0.01
0.0025118864315095794,1.1,14,0.001,A,71,TrialLatin,50,0.1,0.01
0.01,1.1,14,0.001,A,72,TrialLatin,50,0.1,0.01
1e-5,0.2,23,0.001,A,73,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.2,23,0.001,A,74,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.2,23,0.001,A,75,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.2,23,0.001,A,76,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.2,23,0.001,A,77,TrialLatin,50,0.1,0.01
0.01,0.2,23,0.001,A,78,TrialLatin,50,0.1,0.01
1e-5,0.38,23,0.001,A,79,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.38,23,0.001,A,80,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.38,23,0.001,A,81,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.38,23,0.001,A,82,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.38,23,0.001,A,83,TrialLatin,50,0.1,0.01
0.01,0.38,23,0.001,A,84,TrialLatin,50,0.1,0.01
1e-5,0.56,23,0.001,A,85,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.56,23,0.001,A,86,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.56,23,0.001,A,87,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.56,23,0.001,A,88,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.56,23,0.001,A,89,TrialLatin,50,0.1,0.01
0.01,0.56,23,0.001,A,90,TrialLatin,50,0.1,0.01
1e-5,0.74,23,0.001,A,91,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.74,23,0.001,A,92,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.74,23,0.001,A,93,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.74,23,0.001,A,94,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.74,23,0.001,A,95,TrialLatin,50,0.1,0.01
0.01,0.74,23,0.001,A,96,TrialLatin,50,0.1,0.01
1e-5,0.9200000000000002,23,0.001,A,97,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.9200000000000002,23,0.001,A,98,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.9200000000000002,23,0.001,A,99,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.9200000000000002,23,0.001,A,100,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.9200000000000002,23,0.001,A,101,TrialLatin,50,0.1,0.01
0.01,0.9200000000000002,23,0.001,A,102,TrialLatin,50,0.1,0.01
1e-5,1.1,23,0.001,A,103,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,1.1,23,0.001,A,104,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,1.1,23,0.001,A,105,TrialLatin,50,0.1,0.01
6.30957344480193e-4,1.1,23,0.001,A,106,TrialLatin,50,0.1,0.01
0.0025118864315095794,1.1,23,0.001,A,107,TrialLatin,50,0.1,0.01
0.01,1.1,23,0.001,A,108,TrialLatin,50,0.1,0.01
1e-5,0.2,32,0.001,A,109,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.2,32,0.001,A,110,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.2,32,0.001,A,111,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.2,32,0.001,A,112,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.2,32,0.001,A,113,TrialLatin,50,0.1,0.01
0.01,0.2,32,0.001,A,114,TrialLatin,50,0.1,0.01
1e-5,0.38,32,0.001,A,115,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.38,32,0.001,A,116,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.38,32,0.001,A,117,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.38,32,0.001,A,118,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.38,32,0.001,A,119,TrialLatin,50,0.1,0.01
0.01,0.38,32,0.001,A,120,TrialLatin,50,0.1,0.01
1e-5,0.56,32,0.001,A,121,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.56,32,0.001,A,122,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.56,32,0.001,A,123,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.56,32,0.001,A,124,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.56,32,0.001,A,125,TrialLatin,50,0.1,0.01
0.01,0.56,32,0.001,A,126,TrialLatin,50,0.1,0.01
1e-5,0.74,32,0.001,A,127,TrialLatin,50,0.1,0.01
3.9810717055349695e-5,0.74,32,0.001,A,128,TrialLatin,50,0.1,0.01
1.5848931924611142e-4,0.74,32,0.001,A,129,TrialLatin,50,0.1,0.01
6.30957344480193e-4,0.74,32,0.001,A,130,TrialLatin,50,0.1,0.01
0.0025118864315095794,0.74,32,0.001,A,131,TrialLatin,50,0.1,0.01
0.01,0.74,32,0.001,A,132,TrialLatin,50,0.1,0.01
