OSGR,Lat,Long,CellID_MeanTemps,MeanTemp,CellIDs_LCM,Sea / Estuary,Water (inland),Littoral rock,Littoral sediment,Saltmarsh,Supra-littoral rock,Supra-littoral sediment,Bog (deep peat) ,Dense dwarf shrub heath,Open dwarf shrub heath,Montane habitats,Broad-leaved / mixed woodland ,Coniferous woodland,Improved grassland,Neutral grassland,Setaside grassland,Bracken,Calcareous grassland,Acid grassland,"Fen, marsh, swamp",Arable cereals,Arable horticulture,Arable non-rotational,Suburban / rural developed,Continuous urban,Inland bare ground
SJ6674,53.266428,-2.503722,31614,9.911155589607812,647867,0,2,0,0,0,0,0,0,0,0,0,8,0,3,0,8,0,40,0,0,0,7,0,19,9,0
SE7488,54.28671,-0.857088,27495,8.16028496079707,568175,0,0,0,0,0,0,0,0,0,0,0,26,0,30,5,0,0,4,0,0,16,15,0,1,0,0
TQ7499,51.667178,0.521905,37955,9.639974102440775,770575,0,1,0,0,0,0,0,0,0,0,0,9,0,2,0,12,0,0,0,0,20,40,6,1,5,0
SP9515,51.829962,-0.615554,37220,9.114679676587388,759296,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,42,0,0,5,45,0,0,0,0
SK5253,53.076157,-1.217795,32351,8.843058158915623,662653,0,3,0,0,0,0,0,0,0,34,0,2,0,7,0,0,0,0,0,0,0,29,0,8,14,0
SU5801,50.810107,-1.171076,41352,10.71959403797827,839059,0,0,0,0,0,0,0,0,0,0,0,2,0,9,3,0,0,0,0,0,0,0,0,71,11,2
TR3745,51.159424,1.395252,39768,10.039598573733644,808438,29,0,0,2,0,0,10,0,0,0,0,0,0,5,0,7,0,10,0,0,9,25,0,0,0,0
SJ9581,53.330394,-2.069031,31260,8.184142605525098,642996,0,0,0,0,0,0,0,0,0,6,0,10,0,30,33,0,13,0,3,0,0,1,0,0,0,0
SJ2087,53.378347,-3.196543,31065,10.081800771543884,638721,0,0,0,73,0,0,0,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,3,0,0
SJ6248,53.032458,-2.560637,32513,9.173290254376997,666063,0,0,0,0,0,0,0,0,0,0,0,4,0,69,3,1,0,0,0,0,13,8,0,0,0,0
SY6785,50.668254,-2.461242,41874,9.740957641826151,850168,0,0,0,0,0,0,0,0,0,0,0,1,0,44,0,0,0,3,0,0,30,10,6,3,0,0
SO8910,51.793051,-2.153646,37378,9.212859093867038,762690,0,0,0,0,0,0,0,0,0,0,0,25,1,51,0,3,0,11,0,0,1,1,0,2,1,0
SK9438,52.935591,-0.595413,32899,9.095128287453072,673195,0,0,0,0,0,0,0,0,0,0,0,15,0,72,5,1,0,0,3,0,0,1,0,0,0,0
SJ7388,53.392663,-2.39995,31075,9.568698716417446,638074,0,0,0,0,0,0,0,0,1,0,0,10,7,9,0,0,0,0,11,0,27,1,0,6,24,0
SK5680,53.318423,-1.153328,31272,9.121100842945454,643757,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,7,0,0,6,2,0,30,14,11
