OSGR,Lat,Long,CellID_MeanTemps,MeanTemp,CellIDs_LCM,Sea / Estuary,Water (inland),Littoral rock,Littoral sediment,Saltmarsh,Supra-littoral rock,Supra-littoral sediment,Bog (deep peat) ,Dense dwarf shrub heath,Open dwarf shrub heath,Montane habitats,Broad-leaved / mixed woodland ,Coniferous woodland,Improved grassland,Neutral grassland,Setaside grassland,Bracken,Calcareous grassland,Acid grassland,"Fen, marsh, swamp",Arable cereals,Arable horticulture,Arable non-rotational,Suburban / rural developed,Continuous urban,Inland bare ground
SK0053,53.078726,-1.993988,32341,7.659179450610124,662601,0,0,0,0,0,0,0,0,0,3,0,0,0,70,0,0,4,1,0,0,19,0,0,0,0,0
TL5670,52.310311,0.294232,35252,9.70367647316021,720857,0,0,0,0,0,0,0,0,0,0,0,26,0,5,0,2,1,10,0,2,23,13,0,14,0,1
TL6569,52.298692,0.425635,35434,9.746567226309827,721566,0,0,0,0,0,0,0,0,0,0,0,31,1,2,2,0,0,11,0,0,4,44,0,0,0,0
TQ5402,50.801468,0.191141,41371,9.80621619835606,838455,0,0,0,0,0,0,0,0,0,0,0,16,0,27,0,0,0,32,0,0,0,20,0,3,0,0
SU8196,51.661383,-0.823111,37937,9.316081574201666,772582,0,0,0,0,0,0,0,0,0,0,0,15,6,10,0,0,0,10,0,0,19,36,0,1,0,0
SU1163,51.370445,-1.836184,39183,9.006495347464396,795612,0,0,0,0,0,0,0,0,0,0,0,6,0,70,0,0,0,0,0,0,19,0,0,0,0,3
SU8992,51.624212,-0.708503,38118,9.492159593416053,775390,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,4,0,22,0,0,0,27,4,22,1,0
ST5673,51.458795,-2.627497,38812,10.314533735296262,788557,0,0,0,8,1,0,0,0,0,0,0,29,2,9,1,0,0,2,0,0,0,0,0,35,9,0
TQ3707,50.850684,-0.048074,41188,9.767177761226408,834938,0,0,0,0,0,0,0,0,0,0,0,23,0,8,0,10,0,2,0,0,4,34,0,1,3,10
TL2189,52.489892,-0.211975,34705,9.60212940258019,707522,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,39,38,2,3,1,0
SW7117,50.013737,-5.190797,44355,10.50230151650034,897572,0,0,0,0,0,0,0,0,0,0,0,8,0,31,0,0,0,30,0,0,5,20,0,3,0,0
SZ0281,50.633191,-1.966012,42061,10.199618702263965,853003,0,0,0,0,0,0,0,0,1,0,0,12,4,22,0,0,0,17,0,0,1,26,0,0,7,5
SU8210,50.888106,-0.828484,40997,9.41681355184553,832783,0,0,0,0,0,0,0,0,0,0,0,21,18,17,0,0,0,0,0,0,42,0,0,0,0,0
ST5248,51.233696,-2.681721,39711,9.614391630400814,806053,0,0,0,0,0,0,0,0,0,0,0,31,0,53,0,0,0,2,0,0,10,1,0,0,0,0
TQ8285,51.538893,0.630178,38317,10.21833004866027,780383,0,0,0,8,5,0,0,0,0,0,0,6,0,26,0,5,0,23,0,0,13,7,0,0,3,0
SZ0279,50.615206,-1.966025,42241,10.289299836280149,854403,0,0,0,0,0,0,0,0,3,1,0,2,0,15,0,0,0,0,0,0,28,22,0,20,2,2
SY6780,50.623291,-2.460802,42054,10.442273027966039,853668,0,9,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,34,1,0,0,48,1,0
SU8516,50.941612,-0.784439,40818,9.385563954164736,828586,0,0,0,0,0,0,0,0,0,0,0,17,56,6,0,0,0,0,0,0,16,3,0,0,0,0
TL7588,52.466231,0.582069,34716,9.034088277290321,708276,0,0,0,0,0,0,0,0,0,0,0,13,42,0,18,0,0,9,2,1,3,5,0,1,1,0
SD4875,54.172693,-2.790416,27830,8.854025098041514,577149,0,10,0,0,0,0,0,0,0,0,0,34,12,20,0,0,0,5,0,0,0,1,0,3,12,0
TR0349,51.208441,0.91199,39761,9.696798388448007,805604,0,0,0,0,0,0,0,0,0,0,0,38,0,13,0,0,0,6,0,0,20,20,0,0,0,0
TL2080,52.409243,-0.229941,34885,9.564043867090602,713821,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,10,0,0,18,29,0,0,0,0
SK1865,53.186276,-1.724606,31804,7.704387976493572,654219,0,0,0,0,0,0,0,0,0,0,0,24,5,59,0,0,0,9,0,0,0,1,0,0,0,0
TL2079,52.400257,-0.2303,35065,9.511834074985202,714521,0,0,0,0,0,0,0,0,0,0,0,21,27,0,0,0,0,4,0,0,16,24,2,3,0,0
SD4777,54.190564,-2.806082,27830,8.854025098041514,575748,0,0,0,0,0,0,0,0,5,0,0,18,0,25,0,0,0,12,0,0,0,38,0,0,0,0
SU5833,51.09783,-1.165943,40272,9.607674386518589,816659,0,1,0,0,0,0,0,0,0,0,0,7,0,19,0,1,0,16,0,0,21,12,0,10,8,0
TL2181,52.418007,-0.214884,34885,9.564043867090602,713122,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,24,0,3,0,0,58,1,0,0,0,0
SP2520,51.882484,-1.630939,37026,9.186554677745871,755726,0,0,0,0,0,0,0,0,0,0,0,48,1,9,0,1,0,3,0,0,19,14,0,1,0,0
SO7576,52.385976,-2.361399,35036,9.18215462204988,716476,0,0,0,0,0,0,0,0,0,0,0,82,1,2,0,3,0,0,0,0,0,4,0,5,0,0
TM4774,52.312773,1.629655,35270,9.61652099623675,718148,0,0,0,0,0,0,0,0,0,0,0,7,9,2,44,0,0,0,8,0,14,11,0,0,0,0
TL2550,52.13855,-0.167627,35966,9.316690822009596,734826,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,0,14,0,0,13,28,0,1,0,0
SU6420,50.980305,-1.08258,40633,9.420494797251514,825765,0,0,0,0,0,0,0,0,0,0,0,18,4,29,0,0,0,5,0,0,0,41,0,0,0,0
TF2263,53.154553,-0.169522,32005,9.2230060109393,655723,0,0,0,0,0,0,0,0,0,0,0,28,3,20,0,0,0,0,12,0,12,22,0,0,0,0
TL3175,52.361787,-0.070284,35067,9.63832589775204,717332,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,23,0,0,12,55,0,1,1,0
SJ7484,53.356759,-2.384589,31255,9.307383365443995,640875,0,39,0,0,0,0,0,0,0,0,0,14,1,33,0,0,0,5,0,0,1,0,0,2,1,0
TF1101,52.59986,-0.35516,34163,9.275404133219336,699112,0,0,0,0,0,0,0,0,0,0,0,48,0,2,0,4,0,13,0,0,25,4,0,2,0,0
SD2810,53.586189,-3.081554,30166,NA,622629,0,0,0,20,0,0,60,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0
TF7144,52.970424,0.552455,32735,9.441379028741196,669072,0,1,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,63,2,0,0,0,0
SP8434,52.002519,-0.770483,36677,9.240860060563673,745985,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,2,0,7,0,0,0,0,5,58,3,1
TF5658,53.100751,0.336082,32192,NA,659257,0,1,0,9,16,0,12,0,0,0,0,23,2,1,5,0,0,8,0,0,6,12,0,0,0,0
SU7296,51.662614,-0.953204,37935,9.186300814301266,772573,0,4,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,40,0,0,26,7,0,6,0,0
ST8817,50.956811,-2.165105,40798,9.213587538078652,827789,0,3,0,0,0,0,0,0,0,0,0,10,8,12,0,1,0,31,0,2,9,12,0,5,1,1
SD3877,54.189562,-2.943992,27828,8.642016402292505,575739,0,0,0,0,0,0,0,0,0,0,0,1,0,85,0,0,0,1,0,0,0,11,0,0,0,0
TQ2786,51.562974,-0.162002,38306,10.240403627904039,779628,0,6,0,0,0,0,0,0,0,0,0,36,0,10,30,0,0,4,0,0,0,0,0,3,5,0
TF8745,52.974051,0.791003,32558,9.6163019911520209,668388,2,0,0,45,5,0,3,0,0,0,0,0,29,0,0,0,0,2,0,0,4,6,0,1,0,0
SU7396,51.662485,-0.938749,37935,9.186300814301266,772574,0,2,0,0,0,0,0,0,0,0,0,2,2,37,0,0,0,24,0,0,5,15,0,8,0,0
SU0518,50.965895,-1.923051,40802,9.370119119303366,827106,0,0,0,0,0,0,0,0,0,0,0,6,0,49,0,0,0,28,0,0,6,7,1,0,0,0
SO6009,51.782759,-2.573998,37553,9.28241805791709,763361,0,0,0,0,0,0,0,0,0,0,0,62,16,0,0,0,0,0,0,0,0,18,0,2,0,0
SX7778,50.593336,-3.732046,42216,9.397929168794674,854978,0,0,0,0,0,0,0,0,0,0,0,69,0,14,0,0,0,0,9,0,2,1,0,3,0,0
SP6009,51.780903,-1.12442,37573,9.552454071073933,763461,0,0,0,0,0,0,0,0,0,0,0,51,13,8,0,0,0,20,0,0,0,5,0,0,1,0
TQ2113,50.908193,-0.27325700000000003,41005,10.059225671525107,830722,0,0,0,0,0,0,0,0,0,0,0,16,0,27,0,2,0,17,0,0,3,11,0,18,4,0
TL2384,52.444517,-0.184385,34885,9.564043867090602,711024,0,0,0,0,0,0,0,0,0,0,0,23,0,22,0,0,0,7,0,0,22,24,0,0,0,0
TQ7876,51.45933,0.568013,38676,10.243472977837248,786679,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,5,0,3,0,0,26,35,0,0,0,0
NU1343,55.684795,-1.786857,21903,NA,459614,29,0,0,13,0,0,34,0,0,0,0,0,0,14,6,0,1,0,0,0,0,0,0,0,0,0
SZ1790,50.713871,-1.753497,41704,10.278353873320848,846718,37,0,0,15,2,0,2,0,0,0,0,28,0,1,2,0,0,9,0,0,0,0,0,0,0,0
TF4693,53.417963,0.202943,30930,9.30023602527427,634747,0,0,0,15,58,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2,0,0,1,0
TG3416,52.695364,1.468893,33647,9.472893274367236,688735,0,0,0,0,0,0,0,0,0,0,0,58,0,2,0,0,0,0,0,11,7,1,0,13,5,0
TR0745,51.171084,0.966865,39762,9.521971444389187,808408,0,0,0,0,0,0,0,0,0,0,0,28,0,21,0,0,0,14,0,0,13,21,0,0,0,0
SD4872,54.145733,-2.789902,28010,9.153516674169706,579249,0,0,0,0,2,0,0,0,0,0,0,24,0,36,0,0,0,5,0,0,0,25,0,1,3,0
SU6022,50.998721,-1.13922,40633,9.420494797251514,824361,0,0,0,0,0,0,0,0,0,0,0,16,0,37,0,6,0,21,0,0,9,9,0,0,0,0
SX3972,50.530204,-4.265929,42388,9.4777373903297,859140,0,0,0,0,0,0,0,0,0,0,0,16,11,46,0,0,0,0,9,0,4,11,0,0,0,0
TR0034,51.07479,0.860755,40301,10.048393360116325,816101,0,8,0,0,0,0,0,0,0,0,0,47,9,5,0,0,0,1,0,0,9,16,0,2,0,0
SU4123,51.009393,-1.409846,40629,9.982416885833391,823642,0,0,0,0,0,0,0,0,0,0,0,32,22,25,3,1,0,5,0,0,1,1,1,5,0,0
NY8828,54.651467,-2.179747,26038,6.151038460404695,540089,0,0,0,0,0,0,0,0,0,2,0,21,2,21,29,0,1,12,6,0,0,0,0,0,0,1
SX3773,50.538638,-4.29456,42388,9.4777373903297,858438,0,0,0,0,0,0,0,0,0,0,0,1,27,40,0,0,0,6,0,0,10,14,0,0,0,0
SX6698,50.770679,-3.894596,41494,9.534125989522416,840967,0,0,0,0,0,0,0,0,0,0,0,26,0,63,0,0,0,0,0,0,5,1,0,2,0,0
ST9051,51.262577,-2.137536,39539,9.144984038004607,803991,0,0,0,0,0,0,0,0,0,0,0,12,0,49,0,0,0,6,0,0,0,4,0,2,0,24
SO9173,52.359491,-2.126238,35219,9.22873512667924,718592,0,0,0,0,0,0,0,0,0,0,0,67,1,9,0,8,0,11,0,0,0,0,0,1,0,0
SZ5090,50.711947,-1.286116,41711,10.556413946823982,846751,11,0,0,0,0,0,0,0,0,0,0,13,0,36,0,1,0,10,0,0,6,3,0,10,5,0
SO8654,52.188575,-2.198891,35938,9.783134849104608,731887,0,0,0,0,0,0,0,0,0,0,0,17,3,6,0,0,0,0,0,0,0,1,0,63,6,1
SE3518,53.661788,-1.464259,30008,9.263254886706251,617136,0,0,0,0,0,0,0,0,0,0,0,22,1,14,9,0,0,0,0,0,3,33,0,10,2,1
SP3861,52.250337,-1.437472,35588,9.183651141620453,727039,0,0,0,0,0,0,0,0,0,0,0,19,6,19,0,0,0,21,0,0,13,18,0,0,0,0
ST9015,50.938863,-2.136577,40799,9.059737910249027,829191,0,0,0,0,0,0,0,0,0,0,0,40,36,7,0,3,0,0,0,0,10,2,0,0,0,0
TL1614,51.816995,-0.311279,37404,9.349909304804125,760017,0,0,0,0,0,0,0,0,0,0,0,11,0,34,0,2,0,5,0,0,5,25,5,10,0,0
SZ5778,50.603396,-1.188843,42252,9.825741384487763,855158,0,0,0,0,0,0,0,0,0,1,0,11,0,23,3,2,0,12,0,12,0,13,1,16,0,0
SZ5678,50.603493,-1.202972,42252,9.825741384487763,855157,0,0,0,0,0,0,0,0,0,0,0,30,0,14,0,0,0,18,0,1,7,23,0,4,0,0
SU6190,51.609983,-1.11327,38113,9.191727351091743,776762,0,5,0,0,0,0,0,0,0,0,0,2,0,47,0,1,0,24,0,0,0,3,0,4,9,0
TQ3330,51.05833,-0.096436,40287,9.569734102750262,818834,0,5,0,0,0,0,0,0,0,0,0,39,7,24,0,4,0,3,0,0,3,11,0,0,0,0
SU6187,51.583012,-1.113795,38293,9.31566394392112,778862,0,0,0,0,0,0,0,0,0,0,0,2,0,45,0,0,0,37,0,0,0,10,0,3,0,0
TL9355,52.163841,0.827746,35799,9.208112168835587,731394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65,32,0,0,0,0
SP0938,52.044816,-1.862896,36482,9.458537452368857,743110,0,0,0,0,0,0,0,0,0,0,0,4,1,15,0,0,0,13,0,0,32,21,0,9,1,0
TQ3358,51.309965,-0.086041,39387,9.663072296401165,799234,0,0,0,0,0,0,0,0,0,0,0,18,0,7,0,1,0,19,0,0,0,4,1,32,15,0
SO7638,52.044392,-2.344055,36476,9.598792674354158,743077,0,0,0,0,0,0,0,0,0,0,0,16,1,11,0,43,0,2,2,0,0,8,0,0,3,9
SD4588,54.289205,-2.838733,27470,8.574834078942228,568046,0,0,0,0,0,0,0,0,0,6,0,18,2,40,6,0,0,2,0,0,0,22,0,0,0,0
TQ8955,51.267145,0.714984,39398,9.278091930346603,801390,0,0,0,0,0,0,0,0,0,0,0,17,0,18,0,0,0,12,0,0,20,28,0,3,0,0
TQ7362,51.33512,0.489277,39215,9.90537084462561,796474,0,0,0,0,0,0,0,0,0,0,0,23,1,24,0,0,0,1,0,0,44,1,0,1,0,0
ST8222,51.00162,-2.250772,40617,9.740553681923947,824283,0,0,0,0,0,0,0,0,0,0,0,41,21,19,1,1,0,0,0,0,2,12,0,0,0,1
SP6210,51.789673,-1.095253,37393,9.260258272613038,762763,0,0,0,0,0,0,0,0,0,0,0,54,14,2,0,0,0,11,0,0,3,11,0,0,1,0
TQ9645,51.174966,0.809721,39760,9.6859089699925,808397,0,0,0,0,0,0,0,0,0,0,0,17,0,16,0,0,0,3,0,0,8,33,0,18,1,0
TQ9156,51.275459,0.744153,39399,9.573972923644577,800692,0,0,0,0,0,0,0,0,0,0,0,37,0,13,0,0,0,5,0,0,22,20,1,0,0,0
SD4576,54.181369,-2.836548,27830,8.854025098041514,576446,0,0,0,0,0,0,0,0,0,0,0,26,0,36,2,0,3,7,0,0,13,11,0,0,0,0
SO9438,52.044867000000004,-2.081606,36479,9.81412312628023,743095,0,0,0,0,0,0,0,0,0,0,0,22,0,40,0,7,0,7,0,0,5,9,0,1,2,2
SU9585,51.560306,-0.623758,38300,9.613772439037195,780296,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,2,8,0,0
TQ3360,51.327938,-0.085292,39207,10.004925944787676,797834,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,20,0,0,0,25,1,33,0,0
SU5483,51.547769,-1.215431,38471,9.085799590379548,781655,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,8,0,0,1,21,0,0,0,0
TQ2696,51.653066,-0.172816,37946,9.897257429662442,772627,0,0,0,0,0,0,0,0,0,0,0,3,0,17,4,1,0,0,0,0,0,1,0,41,31,0
SY5497,50.775285,-2.646667,41511,8.83382592593263,841755,0,0,0,0,0,0,0,0,1,0,0,18,1,31,9,0,0,0,3,0,0,30,2,0,0,0
TF0704,52.627624,-0.41322,34162,9.432862472478607,697008,0,0,0,0,0,0,0,0,0,0,0,24,0,15,0,3,0,19,0,0,7,15,0,13,0,0
SY6872,50.551405,-2.445985,42414,10.522020361910444,859269,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,33,22,3,3,8
TR2844,51.154109,1.266132,39946,9.649435421362694,809129,0,0,0,0,0,0,0,0,0,0,0,14,0,12,0,1,0,23,0,0,1,9,5,31,0,0
SU1005,50.848926,-1.85222,41163,9.646139460105292,836211,0,2,0,0,0,0,0,0,0,0,0,2,27,29,0,0,0,0,10,0,0,4,7,12,3,0
TR2745,51.163485,1.252489,39766,9.466661268158845,808428,0,0,0,0,0,0,1,0,0,0,0,3,0,19,0,1,0,25,0,0,18,17,4,5,2,0
SU1914,50.929625,-1.723901,40984,9.397998453893994,829920,0,0,0,0,0,0,0,0,0,0,0,57,25,1,0,0,0,7,0,0,0,1,3,3,0,0
TQ1550,51.241994,-0.346748,39564,9.111955242770035,804816,0,0,0,0,0,0,0,0,0,0,0,28,0,21,18,3,0,11,0,0,0,14,0,2,0,0
SX8784,50.649287,-3.592648,42038,9.713171080889328,850788,0,0,0,0,0,0,0,0,0,0,0,32,56,1,0,0,0,0,0,0,0,9,0,0,0,0
SK3839,52.951505,-1.428421,32888,9.44771592605409,672439,0,0,0,0,0,0,0,0,0,0,0,8,0,21,0,0,0,3,0,0,0,42,0,23,0,0
TQ0851,51.252356,-0.446685,39562,9.488500020934593,804109,0,0,0,0,0,0,0,0,0,0,0,64,0,3,0,4,0,11,0,0,6,0,0,9,0,0
SU8813,50.91419,-0.742478,40998,9.385792463930757,830689,0,0,0,0,0,0,0,0,0,0,0,5,0,58,0,0,0,19,0,0,0,11,0,3,1,0
TQ1851,51.250368,-0.30346,39564,9.111955242770035,804119,0,0,0,0,0,0,0,0,0,0,0,73,3,8,4,4,0,1,0,1,0,1,0,0,1,0
SO7575,52.376986,-2.361326,35036,9.18215462204988,717176,0,0,0,0,0,0,0,0,0,0,0,84,5,3,0,2,0,0,0,0,1,1,0,1,0,0
SU8040,51.1581,-0.85026,39917,9.56850520332198,811781,0,0,0,0,0,0,0,0,0,0,0,68,0,12,0,0,0,0,0,0,0,8,2,6,0,0
TQ1987,51.573711,-0.277017,38304,10.306982303970294,778920,0,0,0,0,0,0,0,0,0,0,0,27,0,7,8,1,0,9,0,0,0,16,0,28,0,0
TQ9158,51.293422,0.745224,39399,9.573972923644577,799292,0,0,0,0,0,0,0,0,0,0,0,47,4,5,0,1,0,3,0,0,15,16,0,6,0,0
SU0419,50.974896,-1.937279,40801,9.301296487250767,826405,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,57,0,0,16,5,0,0,0,0
ST7511,50.902449,-2.349785,40976,9.739578900087052,831976,0,0,0,0,0,0,0,0,0,0,0,21,1,24,0,5,0,0,0,0,0,46,0,0,0,0
TQ2868,51.400985,-0.154127,39026,10.587511412492713,792229,0,0,0,0,0,0,0,0,0,0,0,11,0,3,45,1,0,0,0,0,0,2,0,6,30,0
TR1060,51.30468,1.018525,39223,10.115867956232325,797911,0,0,0,0,0,0,0,0,0,0,0,78,3,0,0,1,0,9,0,0,2,2,2,0,0,0
ST4020,50.980818,-2.848951,40609,10.162496992442344,825641,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,2,0,0,6,2,10,0,0,0
SU3409,50.883966,-1.51094,41167,10.064577480154998,833435,0,0,0,0,0,0,0,0,0,0,0,31,66,1,0,0,0,0,0,0,0,0,0,0,0,0
TR3643,51.141886,1.379664,39948,NA,809837,51,0,0,0,0,0,11,0,0,0,0,8,0,0,0,2,0,12,0,0,6,3,0,0,0,0
TR1864,51.337581,1.135565,39224,10.172056403226922,795119,0,0,0,0,0,0,0,0,0,0,0,74,2,7,0,0,0,6,0,0,0,7,0,1,0,0
TL0118,51.855869,-0.527636,37221,8.847594816182715,757202,0,0,0,0,0,0,0,0,0,0,0,21,0,15,0,9,0,1,0,0,10,35,5,0,0,0
SZ0277,50.59722,-1.966038,42241,10.289299836280149,855803,0,0,0,0,0,0,0,0,0,0,0,8,0,41,10,0,0,19,0,0,2,12,0,0,1,3
TR1938,51.103758,1.133993,40124,9.61898078882931,813320,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,26,0,0,44,6,0,1,0,0
SD4877,54.190666,-2.790759,27830,8.854025098041514,575749,0,0,0,0,0,0,0,0,1,0,0,34,0,40,0,0,0,18,0,0,0,5,0,0,0,0
SU2435,51.118268,-1.651343,40085,9.246693977511887,815225,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,22,0,0,15,37,1,2,0,1
SP3872,52.349225,-1.436218,35228,9.020217038841556,719339,0,0,0,0,0,0,0,0,0,0,0,60,0,7,0,2,0,20,0,0,0,4,0,0,3,0
SU4830,51.071787,-1.309142,40270,9.894474372095775,818749,0,1,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,1,7,0,0,5,0,44,0,0
ST7313,50.920345,-2.378372,40975,9.715415788544428,830574,0,0,0,0,0,0,0,0,1,0,0,33,3,13,0,3,0,1,0,0,0,43,0,0,0,0
ST8818,50.965803,-2.165136,40798,9.213587538078652,827089,0,0,0,0,0,0,0,0,0,0,0,4,0,37,0,0,0,24,0,0,18,14,0,0,0,0
SU3835,51.117501,-1.451331,40088,9.744760120263491,815239,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,6,0,0,31,44,0,2,1,0
SU3514,50.928866,-1.49624,40988,10.670797981849793,829936,0,1,0,0,0,0,0,0,0,0,0,3,0,28,0,0,0,1,0,0,0,5,1,43,15,0
SP3772,52.349294,-1.450898,35228,9.020217038841556,719338,0,4,0,0,0,0,0,0,0,0,0,33,4,15,0,17,0,8,0,0,0,10,0,5,1,0
SK2452,53.06918,-1.635807,32345,7.977671785646311,663325,0,27,0,0,0,0,0,0,0,0,0,2,0,46,0,0,0,17,0,0,0,2,0,2,0,0
SO5936,52.025427,-2.591675,36472,9.371561730909445,744460,0,0,0,0,0,0,0,0,0,0,0,24,54,6,0,3,0,3,0,0,0,8,0,0,0,0
SD4873,54.15472,-2.790073,28010,9.153516674169706,578549,0,0,0,0,0,0,0,0,0,0,0,68,5,20,0,0,0,4,0,0,0,0,0,0,0,0
TR1051,51.223865,1.013231,39583,9.712000080195866,804211,0,0,0,0,0,0,0,0,0,0,0,69,2,7,0,0,0,6,0,0,0,14,0,0,0,0
ST9603,50.831023,-2.051066,41340,9.715857771065451,837597,0,0,0,0,0,0,0,0,0,0,0,17,0,19,0,0,0,8,0,0,42,9,3,0,0,0
SP9822,51.892359,-0.570041,37040,9.355960890496702,754399,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0,4,0,13,0,0,5,49,0,0,1,2
ST1023,51.003901,-3.276947,40603,9.885264967499861,823511,0,0,0,0,0,0,0,0,0,0,0,21,1,19,0,0,0,5,0,0,3,37,10,0,0,0
ST9959,51.334592,-2.008563,39360,9.540528312217956,798400,0,0,0,0,0,0,0,0,0,0,0,4,0,80,0,0,0,0,0,0,5,5,0,2,0,0
TL1213,51.808826,-0.369607,37403,9.26216631746072,760713,0,0,0,0,0,0,0,0,0,0,0,6,3,21,0,0,0,1,0,0,17,46,1,1,0,0
SU5104,50.837745,-1.269998,41351,10.570089450013588,836952,0,1,0,0,0,0,0,0,0,0,0,4,0,10,1,14,0,10,0,0,8,34,0,1,8,4
TQ9934,51.075138,0.846499,40300,9.97222732633072,816100,0,0,0,0,0,0,0,0,0,0,0,40,6,6,0,0,0,12,0,0,3,5,0,25,0,0
TQ3257,51.301211,-0.10075,39387,9.663072296401165,799933,0,0,0,0,0,0,0,0,0,0,0,46,0,6,0,4,0,11,0,1,0,0,0,17,11,0
SU5029,51.062624,-1.280738,40451,9.558903472033013,819451,0,0,0,0,0,0,0,0,0,0,0,1,0,55,0,0,0,7,0,0,24,5,0,5,0,0
SY6972,50.551459,-2.43187,42414,10.522020361910444,859270,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,11,0,0,0,25,22,5,1,14
SX8078,50.593959,-3.689682,42217,10.438850757323161,854981,0,0,0,0,0,0,0,0,0,0,0,22,4,55,0,0,0,1,1,0,5,7,0,1,0,0
SO6954,52.187894,-2.447555,35934,9.107325993628379,731870,0,2,0,0,0,0,0,0,0,0,0,15,1,42,0,0,0,8,0,0,5,0,0,4,13,6
SU0286,51.577359,-1.965318,38281,9.385588307595297,779503,0,0,0,0,0,0,0,0,0,0,0,21,36,21,0,1,0,1,0,0,5,10,0,0,1,0
SP7221,51.887353,-0.947992,37035,8.857156634234297,755073,0,0,0,0,0,0,0,0,0,0,0,11,8,16,0,0,0,21,0,0,10,31,0,0,0,0
TQ2561,51.338745,-0.1997,39206,10.065677136205013,797126,0,0,0,0,0,0,0,0,0,0,0,42,0,13,0,6,0,0,0,0,0,0,0,34,4,0
SO8060,52.242336,-2.287003,35577,9.609339306308081,727681,0,0,0,0,0,0,0,0,0,0,0,37,0,14,5,7,0,7,0,0,10,16,0,0,0,0
SP6111,51.798774,-1.109573,37393,9.260258272613038,762062,0,0,0,0,0,0,0,0,0,0,0,46,38,0,0,0,0,10,0,0,0,3,0,0,0,0
NU2326,55.53167,-1.62926,22445,8.518350652794437,471524,46,0,3,8,0,0,0,0,0,0,0,0,0,1,8,0,5,11,8,0,3,3,0,0,0,0
SO8402,51.721006,-2.225783,37737,9.57681280017515,768285,0,0,0,0,0,0,0,0,0,0,0,15,2,42,0,7,0,5,0,0,0,11,0,12,1,1
SU3614,50.928803,-1.482012,40988,10.670797981849793,829937,0,5,0,0,0,0,0,0,0,0,0,14,0,18,0,9,0,23,0,1,2,13,1,6,2,0
ST8857,51.316491,-2.166394,39358,9.742643313550357,799789,0,0,0,0,0,0,0,0,0,0,0,29,3,46,0,0,0,2,0,0,9,7,0,0,1,0
TF1574,53.254947,-0.270175,31644,9.07679648101539,648016,0,0,0,0,0,0,0,0,0,0,0,35,24,0,0,0,0,12,0,0,0,26,0,0,0,0
SU5410,50.891421,-1.226506,40991,10.296064689536458,832755,0,0,0,0,0,0,0,0,0,0,0,57,24,0,0,1,0,0,0,0,0,8,0,8,0,0
SU6161,51.34926,-1.118311,39193,9.482162580000105,797062,0,0,0,0,0,0,0,0,0,0,0,64,3,8,0,1,0,3,0,1,1,5,0,10,0,0
SE7115,53.631153,-0.920245,30015,9.188914157323572,619272,0,4,0,0,0,0,0,1,0,0,0,30,2,1,0,0,0,0,17,0,0,38,0,0,2,0
ST6601,50.812074,-2.476851,41334,8.901426327936585,838967,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,10,15,0,17,1,0
TQ3057,51.301673,-0.129423,39387,9.663072296401165,799931,0,0,0,0,0,0,0,0,0,0,0,51,0,11,0,0,0,15,0,0,0,2,0,14,3,0
TM1931,51.938687,1.191885,36704,9.647263341287477,748220,17,0,0,10,0,0,0,0,0,0,0,39,0,18,0,0,0,1,0,0,9,4,0,0,0,0
SZ0896,50.768026,-1.880834,41522,10.041156542050492,842509,0,0,0,0,0,0,0,0,0,0,0,20,0,22,1,0,0,3,0,0,7,2,2,39,0,0
SO9258,52.224652,-2.111215,35759,9.601344946904186,729093,0,0,0,0,0,0,0,0,0,0,0,42,0,28,0,0,0,1,0,0,9,16,0,0,0,0
